,N,degree
1,2,4.0
2,8,4.0
3,24,4.0
4,64,4.0
5,160,4.0
6,384,4.0
7,896,4.0
8,2048,4.0
9,4608,4.0
10,10240,4.0
11,22528,4.0
12,49152,4.0
13,106496,4.0
14,229376,4.0
15,491520,4.0
16,1048576,4.0
17,2228224,4.0
18,4718592,4.0
