,N,mean_path,median_path,diameter
0,1,0.0,0,0
1,2,0.5,0,1
2,6,1.5,1,3
3,42,3.4047619047619047,3,6
4,1806,6.4656699889258027,7,9
5,3263442,11.394222112726379,12,15
