,N,mean_path,median_path,diameter
0,1,0.0,0,0
1,2,0.5,0,1
2,4,1.0,1,2
3,8,1.5,1,3
4,16,2.0,2,4
5,32,2.5,2,5
6,64,3.0,3,6
7,128,3.5,3,7
8,256,4.0,4,8
9,512,4.5,4,9
10,1024,5.0,5,10
11,2048,5.5,5,11
12,4096,6.0,6,12
13,8192,6.5,6,13
14,16384,7.0,7,14
15,32768,7.5,7,15
16,65536,8.0,8,16
17,131072,8.5,8,17
18,262144,9.0,9,18
19,524288,9.5,9,19
20,1048576,10.0,10,20
21,2097152,10.5,10,21
22,4194304,11.0,11,22
